killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
SCAR-L,bishouguai,5,368368,291031.5,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1393,SwanBAT,16,368023.9,292976
Kar98k,victor-killer,12,360712.9,429930.3,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,681,hslkadhlah,43,358886.8,427715.6
AKM,CapricirnL,26,438576.6,278054.8,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,610,19981019Z,46,438636.5,278088
Tommy Gun,Gyong_97,89,436402.8,277045.3,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,90,wujunyy,92,436393.9,276604.1
UMP9,Sabasu,70,424785.6,183248,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,159,Bleach7997,72,425821.1,183736.7
death.WeapSawnoff_C,tianshiqiyi,58,373504.1,365385.2,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,131,ydsada010,79,373604.9,365414.1
S12K,19981019Z,46,435988,276838.8,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,528,yeyouyu,47,433501.4,278316.9
Bluezone,,,,,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1501,ByHuizai,10,300685.4,306112.2
SCAR-L,MY_ZouAn,8,374331.5,422024.6,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1073,lzh245045687,31,375416,428067.5
M16A4,ShiYonG1,63,363784.6,417925.3,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,154,MrRyuzu,74,364079.2,417916.8
SCAR-L,ByHuizai,10,284527,344663.7,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1376,kinjazzy,20,284861.7,344531.9
Micro UZI,DJFGCGHFCY,9,322524.1,246680,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1387,nanalolo,17,322424.9,246966.8
M16A4,nanalolo,17,541989.9,51946.55,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,128,Billsaps555,82,542069.7,51940.78
UMP9,bishouguai,5,358209.6,270931.9,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,334,mawanghw,54,358017.9,267039.9
SCAR-L,MY_ZouAn,8,374498.6,343234.3,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1275,LJHSWE1993,25,369254.1,338337.8
UMP9,Sabasu,70,427877.8,176446.3,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,112,Pappychoe,83,427726.8,175679.7
Kar98k,scopionzy,3,449326.6,526275.8,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,324,NInengkandongme,56,453101.8,522410.9
P1911,intsuperman,29,374361.9,349452.9,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,303,tianshiqiyi,58,371108,347457.3
Hit by Car,qin121314,38,346173.4,536950,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,808,qin121314,38,346173.4,536950
Bluezone,,,,,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1761,Kobe-Bryant-8-24,2,333594.3,273584.2
M416,yeyouyu,47,436842.5,276795.4,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,476,YMYClp,49,437191.3,277379.8
SCAR-L,LY0629,42,438621.2,564616.6,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,359,Hi_MySson,51,439072.8,563662.3
M16A4,nanalolo,17,537031.1,40534.13,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,237,Chensence,93,0,0
SCAR-L,Kobe-Bryant-8-24,2,368644.4,285624.9,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1443,gigoletti,15,368711.1,288766.2
AKM,LJHSWE1993,25,369348.6,338389.1,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1273,CapricirnL,26,370996.6,338942.1
SKS,Supramida,6,426127.9,201773.3,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,349,splbj1,53,429496.3,199274.9
P1911,AllGame6,39,326699.1,356554.5,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,96,nghiakk,90,326667.9,357555
Pan,SwanBAT,16,399855.2,281654.5,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,93,rehero8,91,399778.9,281676
SKS,Kobe-Bryant-8-24,2,438307.1,255501.1,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1135,CkYong,28,434810.6,249745
Down and Out,chuyingqifei,10,165036.1,277311,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,298,katy_,23,165294.8,277640.7
death.ProjMolotov_DamageField_C,Smalleagle1010,20,0,0,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,361,iamtheanomaly,18,379045.8,122588.9
UMP9,Smalleagle1010,20,386047.1,132479.5,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,255,Xailian,18,386011.9,132030.4
M416,Levy2k6,22,392493.6,287693,ERANGEL,2U4GBNA0YmnFQnfcWqyvMVZhdGWNXfTfs4JI8dtljeqjfs1SUKTYffkuKKpfM8Yx,229,ididoda,19,387841.6,292552.5
