date,game_size,match_id,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_name,player_survive_time,team_id,team_placement
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,60.62327,35,0,corgi376_OG,154.87,100000,84
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,253.9795,81,1,wassup-bro,359.094,100003,65
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,93.27071,100,1,0xygenjo,110.802,100005,91
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,1,0,6778.11865,2217.15479,180,1,Hiro_Samurai,1335.684,100008,18
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,1,0,0,683.725,129,0,hole_sniffer,796.045,100012,45
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,2166.787,421.96933,113,1,Unknown_PIayerN1,473.256,100013,57
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,2471.812,2837.81323,381,3,Gixxer7fiddy,1663.147,100014,5
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,145.729645,4141.146,1538,13,XiaoFeng990,1842.1,100018,1
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,578.4775,2614.31421,398,3,panyanpashan,1282.611,100019,21
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,107.30497,2698.1543,262,2,Zuelt,1543.122,100023,9
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,129.226273,0,0,Nikkum,127.488,100026,87
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,3393.49341,1547.23926,200,2,CHOcolateRain94,1311.355,100034,20
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,1040.831,0,0,MrNanF7,450.707,100035,60
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,22.3419266,0,0,SwoleCole69,91.086,100036,94
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,154.802475,0,0,backhander0,223.016,100050,72
